period,product,product_group,quantity,list_price,net_price
01/11/2020,PRDFLWQR6O0,G1,6016,16.6,16.264
01/05/2021,PRDJB6LZ8N8,G1,42016,16.618,16.264
01/08/2020,PRDWNHFFYUB,G1,342016,16.51,16.24
01/07/2020,PRDWQ23IYQ1,G1,12016,16.51,16.24
01/04/2020,PRDC0ZIC81P,G1,6016,16.51,16.24
01/03/2020,PRDRCALANCY,G1,258016,16.51,16.24
01/05/2020,PRDL7DP7JYX,G1,240016,16.51,16.24
01/04/2021,PRDB34LF2F5,G1,6016,20.86,18.4
01/07/2021,PRDEZSTXY6N,G1,6016,20.86,18.4
01/10/2020,PRD4KLQJJOW,G1,6016,20.98,18.4
01/05/2020,PRDJGK4CKX9,G1,6016,20.98,18.4
01/08/2020,PRD964LX7SG,G1,6016,20.98,18.4
01/01/2021,PRDFINXA5NX,G1,12016,20.98,18.4
01/08/2021,PRD3JNOQTDH,G1,2016,20.83,19.54
01/06/2020,PRD467ZZWA3,G1,456,19.48,19.42
01/03/2020,PRD1XJJM5SU,G1,266,19.15,19.42
01/12/2020,PRDMKJHUJB0,G1,38,128.17,144.8392
01/01/2021,PRDKCC7CC54,G1,82,128.17,142.93
01/07/2021,PRDAWS889D3,G1,116,143.9569,143.95
01/12/2020,PRDLXSHOL23,G1,376,115.12,115.12
01/06/2021,PRDYWFRKSKV,G1,34,153.6286,149.62
01/10/2021,PRDCVGIU15W,G1,58,236.74,236.74
01/03/2020,PRDD8QMMZXS,G1,316,97.24,97.24
01/06/2021,PRDFN2FBG43,G1,1516,99.4939,97.24
01/07/2021,PRDQ37NMZ08,G1,1516,99.4939,97.24
01/08/2021,PRDGGY44C2A,G1,1516,99.4939,97.24
01/03/2022,PRDL7AL8UG0,G1,1516,99.4939,97.24
01/01/2022,PRDCB5A5YOJ,G1,1516,99.4939,97.24
01/05/2021,PRDD7QKLDKU,G1,1516,99.4939,97.24
01/12/2021,PRDP5VOQB39,G1,1516,99.4939,97.24
01/06/2020,PRDYRZ7W9ZB,G1,1066,90.73,97.24
01/03/2021,PRD9AQ3LEL1,G1,1516,90.73,97.24
01/06/2020,PRDYV6U5SR0,G1,1066,90.73,97.24
01/04/2020,PRDXXUMK8HO,G1,616,90.73,97.24
01/01/2021,PRDQDMTUWDJ,G1,2516,90.73,97.24
01/09/2020,PRD5UVIVTC2,G1,704,90.73,97.24
01/12/2020,PRD5ZKVPZDM,G1,1516,90.73,97.24
01/06/2021,PRDY8NRCFPE,G3,470016,19.2562,16.96
01/08/2021,PRD67LIV074,G3,840016,19.2562,16.96
01/10/2021,PRDEGIH5ZQG,G3,260016,19.2562,16.96
01/07/2020,PRDRSJMXUAI,G3,315016,18.7,16.96
01/10/2020,PRD52VAFRGN,G3,610016,18.7,16.96
01/03/2022,PRD44EB2PL8,G3,255016,19.2562,16.96
01/08/2020,PRDDO56ULCT,G3,840016,18.7,16.96
01/06/2020,PRDP0CADJIN,G3,30016,18.7,17.86
01/02/2022,PRDVVEI58D8,G3,1720016,19.2562,16.96
01/02/2021,PRDNVULPTBE,G3,365016,19.18,16.96
01/05/2021,PRDO2EPO59C,G3,590016,19.18,16.96
01/11/2021,PRD7ILCECAY,G3,210016,19.2562,16.96
01/01/2021,PRDLKJRRZUY,G3,1430016,18.7,16.96
01/01/2022,PRD4WUY01GD,G3,85016,19.2562,16.96
01/11/2020,PRDQE3D8X4B,G3,400016,18.7,16.96
01/12/2020,PRDYLQ3ZCUA,G3,850016,18.7,16.96
01/02/2021,PRD40OMQJIY,G3,645016,18.7,16.96
01/03/2021,PRDYXXEHMG2,G3,750016,19.18,16.96
01/09/2020,PRDYHY94B8Q,G3,800016,18.7,16.96
01/04/2021,PRDBESNWEUG,G3,1375016,19.18,16.96
01/07/2021,PRD4IC1GKD8,G3,550016,19.2562,16.96
01/09/2021,PRDADDAZXT9,G3,655016,19.2562,16.96
01/04/2020,PRDD1BOVSOD,G3,20016,18.7,17.86
01/06/2020,PRDOB72OEKN,G3,990016,18.7,16.96
01/05/2020,PRDCK3YX0ZZ,G3,55016,18.7,17.86
01/05/2021,PRDVHZQO5DR,G3,465016,19.2562,16.96
01/10/2021,PRDFO91FDT5,G3,66,27.88,32.3512
01/03/2021,PRDP9BCTD0P,G3,5016,21.04,20.4895
01/07/2020,PRDGBDEPZEJ,G3,376,21.04,28.3072
01/09/2020,PRDVD17ML7P,G3,670016,19.36,17.29
01/11/2020,PRDH0VSXN3T,G3,505016,19.36,17.29
01/06/2021,PRDXMUQW5TX,G3,540016,19.645,17.29
01/08/2020,PRDY0Y4ZAJS,G3,785016,19.36,17.29
01/02/2021,PRDLZBF92JN,G3,1495016,19.36,17.29
01/06/2020,PRDAM7PPPBG,G3,740016,19.36,17.29
01/12/2020,PRDPS6T94TF,G3,1695016,19.36,17.29
01/04/2021,PRDMDU1S80D,G3,1080016,19.645,17.29
01/09/2021,PRDNEE0E9VZ,G3,660016,19.645,17.29
01/11/2021,PRD2OOPIX7Z,G3,345016,19.645,17.29
01/07/2020,PRDZ7VWDTFY,G3,270016,19.36,17.29
01/05/2021,PRD3E61O8QT,G3,945016,19.645,17.29
01/01/2021,PRDWJ5UYBYS,G3,165016,19.36,17.29
01/12/2021,PRDHUSC8PBH,G3,575016,19.645,17.29
01/02/2022,PRDMRKDGK2Z,G3,680016,19.645,17.29
01/05/2020,PRDL2V0K5RY,G3,375016,19.36,18.43
01/07/2021,PRDKY31KCS0,G3,500016,19.645,17.29
01/10/2020,PRDFCV9WNXJ,G3,490016,19.36,17.29
01/08/2021,PRDL0EHM3YF,G3,825016,19.645,17.29
01/03/2022,PRD66UXVY0E,G3,440016,19.645,17.29
01/04/2020,PRDIAG8JEE0,G3,15016,19.36,18.43
01/02/2021,PRD0RHCYBAD,G3,300016,19.645,17.29
01/03/2021,PRDYOJCK2PD,G3,1065016,19.645,17.29
01/01/2022,PRDO0LWDSSW,G3,510016,19.645,17.29
01/06/2020,PRDS0X4CFSH,G1,15016,19.39,19
01/09/2021,PRDRQ3FZVLP,G1,95016,19.5235,19
01/11/2021,PRDJPM6YOD5,G1,160016,19.5235,19
01/01/2021,PRDS1EFXR01,G1,70016,19.39,19
01/04/2020,PRDW251TLPE,G1,25016,19.39,19
01/01/2022,PRDLWLCBY0J,G1,260016,19.5235,19
01/05/2020,PRD9QRJ5HID,G1,30016,19.39,19
01/10/2021,PRDKEOMKYSZ,G1,165016,19.5235,19
01/03/2021,PRDXF32CGO2,G1,95016,19.5235,19
01/03/2022,PRDUHUU0RZQ,G1,275016,19.5235,19
01/04/2021,PRDG5TUFDUT,G1,60016,19.5235,19
01/12/2021,PRDKKFNFNQU,G1,275016,19.5235,19
01/12/2020,PRDGUDO4US4,G1,80016,19.39,19
01/09/2020,PRD9QL17RTP,G1,35016,19.39,19
01/06/2021,PRDD1AY2GV8,G1,115016,19.5235,19
01/07/2021,PRD5FKM8MZD,G1,60016,19.5235,19
01/03/2020,PRDZWAW622I,G1,5016,19.39,19
01/07/2021,PRDGTJ6YXXH,G1,25016,19.5235,19
01/02/2021,PRDN97FSSRZ,G1,75016,19.39,19
01/05/2021,PRDA7F9TIOQ,G1,35016,19.5235,19
01/08/2020,PRDOWORM407,G1,25016,19.39,19
01/04/2022,PRDLD8QVX0H,G1,205016,19.5235,19
01/10/2020,PRDZTEWQQXK,G1,35016,19.39,19
01/02/2022,PRDYC2H32R4,G1,5016,19.5235,19
01/11/2020,PRDELKEZDR3,G1,55016,19.39,19
01/07/2020,PRDTIYZ22U5,G1,25016,19.39,19
01/12/2020,PRDBY45KLLM,G1,5016,20.68,19.9
01/03/2022,PRDXYC94AG7,G1,5016,20.56,19.9
01/07/2021,PRDC116I0OU,G1,10016,22.57,22.45
01/11/2021,PRDFZ6WC7D6,G1,5016,22.57,22.45
01/02/2022,PRDXPQ4E0IB,G1,10016,22.57,22.45
01/08/2021,PRDQ5PJXNPV,G1,10016,22.57,22.45
01/06/2021,PRDPPXIKPM3,G1,816,19.72,19.45
01/08/2021,PRD2E4D68TI,G1,5016,19.72,19.45
01/10/2021,PRDS1UEF3HC,G1,30016,20.08,19.45
01/03/2022,PRDOC0M5UV0,G1,75016,20.08,20.14
01/02/2022,PRD85WINWIJ,G1,50016,20.08,20.14
01/01/2022,PRD56LJ9BIX,G1,35016,20.08,20.14
01/07/2021,PRD1T13VBIL,G1,816,19.72,19.45
01/04/2022,PRD3V4I5UFC,G1,45016,19.7656,21.8149
01/09/2020,PRD8TV3YRE4,G1,40016,19.45,21.49
01/10/2021,PRDTMQS51RP,G1,10016,19.7656,21.49
01/03/2020,PRD54VGL2O6,G1,5016,19.45,21.49
01/02/2021,PRDYIUYTR7S,G1,10016,19.7656,21.49
01/03/2021,PRDXGHTFKWJ,G1,70016,19.7656,21.49
01/04/2020,PRDWY0WTXUP,G1,25016,19.45,21.49
01/08/2021,PRDISUSBHVM,G1,25016,19.7656,21.49
01/12/2020,PRDNHS9Z5WK,G1,60016,19.45,21.49
01/11/2020,PRDBWR2XH5M,G1,35016,19.45,21.49
01/01/2022,PRDQL7OEVTS,G1,50016,19.7656,21.4303
01/07/2021,PRDR069ZATE,G1,10016,19.7656,21.5311
01/04/2021,PRDYMD8O6YG,G1,5016,19.7656,21.7204
01/02/2022,PRDWSBFEIKO,G1,40016,19.7656,21.49
01/01/2021,PRDRXXMDVIY,G1,20016,19.45,21.49
01/06/2021,PRD1N2HD0C3,G1,10016,19.7656,21.5317
01/09/2021,PRDV3HJA035,G1,40016,19.7656,21.49
01/05/2020,PRDYRVS8AXA,G1,10016,19.45,21.49
01/10/2020,PRDP17J2SX7,G1,40016,19.45,21.49
01/07/2020,PRDQUY4U61Q,G1,30016,19.45,21.49
01/02/2021,PRDC7N52TF7,G1,30016,19.45,21.49
01/12/2020,PRDS2J8IL54,G1,20016,19.45,21.4528
01/04/2021,PRDP6MOX6D6,G1,80016,19.7656,21.49
01/01/2022,PRDG5A24TCV,G1,5016,19.7656,21.49
01/08/2020,PRDIL69MVLG,G1,25016,19.45,21.49
01/05/2021,PRDNS44H6OX,G1,100016,19.7656,21.49
01/09/2021,PRDBDUDN8FV,G1,5016,19.7656,21.391
01/03/2021,PRDLE4W71OW,G1,5016,19.7656,20.5741
01/10/2020,PRDRSXHSHPT,G1,15016,19.45,21.5128
01/01/2021,PRDGVMCVPW5,G1,10016,19.45,21.4384
01/03/2021,PRDZ2BKMESJ,G1,10016,20.35,19.18
01/09/2021,PRDV7IPG6WC,G1,15016,19.96,19.18
01/01/2022,PRD34PCPGRS,G1,15016,20.26,19.18
01/04/2022,PRDNZ379RVT,G1,5016,20.26,19.18
01/12/2021,PRD9LH4FZP1,G1,5016,20.26,19.18
01/03/2022,PRDCCTP08RK,G1,10016,20.26,19.18
01/09/2021,PRD8OJJK758,G1,5016,20.26,19.18
01/09/2021,PRDE85JTOUU,G1,5016,20.38,20.47
01/04/2021,PRDDBH4WSW0,G1,5016,20.17,20.47
01/11/2021,PRDIVOM3OIA,G1,5016,20.38,20.47
01/02/2022,PRDOTIL6ALT,G1,5016,20.38,20.47
01/10/2021,PRDPJ0BCBDX,G1,5016,20.59,20.62
01/08/2021,PRDPWE01EBO,G1,5016,19.5235,20.68
01/12/2020,PRD3J5XXOQM,G1,10016,20.35,19.3
01/08/2020,PRD79WI06X6,G1,5016,20.35,19.3
01/02/2021,PRDEUWVFXRB,G1,10016,20.35,19.3
01/09/2020,PRDV3G1K0UR,G1,10016,20.35,19.3
01/03/2021,PRDCT2CQQQ6,G1,5416,20.35,19.3
01/11/2021,PRDLKDDWT5A,G1,5016,20.92,23.02
01/04/2021,PRDRM5IUCPI,G1,10016,19.7908,19.3
01/05/2021,PRDLRUBI0WW,G1,25016,19.7908,19.3
01/12/2021,PRDZG0SZJQY,G1,165016,19.7908,19.3
01/10/2021,PRD6H9EJM82,G1,200016,19.7908,19.3
01/01/2022,PRDDPO6WBWH,G1,375016,19.7908,19.3
01/08/2021,PRDWLDVY54W,G1,65016,19.7908,19.3
01/02/2022,PRD05INWEPC,G1,245016,19.7908,19.3
01/06/2021,PRDSVL1SXY7,G1,35016,19.7908,19.3
01/03/2022,PRDBSJEU6QM,G1,20016,19.7908,19.3
01/09/2021,PRDRDZLMCDD,G1,140016,19.7908,19.3
01/12/2021,PRDRWU4I2C4,G4,46,188.5,188.5
01/01/2021,PRD6KLUOCC2,G4,1360,69.43,69.43
01/12/2021,PRDJW5JHV6V,G4,3016,77.5,80.89
01/10/2020,PRDC0JYD2VI,G4,1016,52.69,64.63
01/07/2020,PRDCZ045WBT,G4,21016,52.69,51.19
01/01/2022,PRDWMJDU5D8,G4,22016,77.5,80.89
01/06/2020,PRDC7COZDXB,G8,20016,16.78,16.417
01/08/2021,PRD8J2R5RJ0,G8,2260016,16.69,16.417
01/08/2020,PRDLK3EUERY,G8,320016,16.69,16.417
01/07/2021,PRD0QOK076Y,G8,3740016,16.69,16.417
01/12/2021,PRDK00H99B0,G8,7180016,16.63,16.417
01/10/2020,PRDKSYEA8V0,G8,2380016,16.69,16.417
01/05/2021,PRDFXVJ564Z,G8,8940016,16.69,16.417
01/09/2021,PRDFH8JUM3Z,G8,1600016,16.69,16.417
01/06/2021,PRD1K14NG0Y,G8,100016,16.69,16.417
01/03/2021,PRDAI2E50UY,G8,320016,16.69,16.417
01/02/2021,PRDYDDU5BZH,G8,5960016,16.69,16.417
01/01/2022,PRDT7VLDG5Z,G8,20016,16.63,16.417
01/03/2022,PRDO6RDENT5,G8,640016,16.63,16.417
01/09/2020,PRDI6YM0L6R,G8,920016,16.69,16.417
01/09/2021,PRD2Q67JV6D,G8,1400016,16.69,16.417
01/12/2020,PRDN606SN56,G8,660016,16.69,16.417
01/11/2020,PRDBB5OBGNG,G8,4640016,16.69,16.417
01/07/2020,PRDJJ9CME7T,G8,100016,16.75,16.417
01/11/2021,PRDD24SL73G,G8,200016,16.69,16.417
01/08/2020,PRDYNZ5INWY,G8,180016,16.75,16.417
01/10/2021,PRDUE8YBYQU,G8,340016,16.69,16.417
01/02/2022,PRD4NTSPTH1,G8,60016,16.63,16.417
